ArtNr;Alt_ArtNr;Weitere_ArtNr;Raumcode;Bezeichnung;Beschreibung;Kategorie;Marke;Raum;Menge;Einheit;Zustand;Maße;Foto;Wertklasse;Aktiv;Im_Katalog;Preis_netto;Preisbasis;Versand;Mengenhinweis;Anlagennr;Anschaffungswert_netto;Status;Kanal;Reserviert_für;Verkauft_Menge;Verkaufspreis_netto;Verkaufsdatum;Käufer;Rechnungsnr;Zahlung;Zahlart;Abholtermin;Klinik_Markierung;Bemerkung
K-141;;;TE02;Bistro-Set schwarz Metall;Gartentisch mit 2 Stühlen, schwarzes Metall, klappbar;Garten;;Dachterrasse;1;Set;gebraucht;;F-107;C;entfällt;ja;90,00;VHB;nur Abholung;1 Tisch mit 2 Stühlen im Bild;;;verfügbar;;;;;;;;;;;;
NE01-01;K-001;;NE01;Deko-Hirschkopf weiß;Kunstharz, weiß, mit schwarzem Geweih, auf Holzschild, Wandmontage;Deko;;Flur;1;Stück;gut;;F-001;C;ja;ja;45,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
NE01-02;K-020;;NE01;Trachtenfotografie gerahmt, schwarz;Fotodruck im schwarzen Rahmen mit Passepartout, ca. 30 x 40 cm - Kaufware;Kunst;;Flur;5;Stück;gut;;F-014;B;ja;ja;45,00;VHB;Versand möglich;5 Rahmen im Bild;;;verfügbar;;;;;;;;;;;ja;
NE01-03;K-047;;NE01;Trachtenportrait gerahmt, klein;Fotodruck gerahmt, kleinformatig - Kaufware;Kunst;;Flur;3;Stück;gut;;F-029;C;ja;ja;35,00;VHB;Versand möglich;3 Rahmen im Bild;;;verfügbar;;;;;;;;;;;ja;
NE01-04;K-049;;NE01;Gemälde Bollenhut abstrakt, schwarz-weiß;Acryl auf Leinwand, ca. 90 x 90 cm - Eigenarbeit einer Privatperson;Kunst;;Flur;1;Stück;gut;;F-030;B;ja;ja;150,00;VHB;nur Abholung;1 Bild im Bild;;;verfügbar;;;;;;;;;;;;
NE01-05;K-050;;NE01;Sansevieria groß im Übertopf;Bogenhanf, große Pflanze, weißer Übertopf;Pflanzen;;Flur;1;Stück;gut;;F-031;C;ja;ja;60,00;VHB;nur Abholung;1 Pflanze im Bild;;;verfügbar;;;;;;;;;;;;
NE01-06;K-051;;NE01;Gemälde Bollenhut rot-weiß;Acryl auf Leinwand, ca. 50 x 60 cm - Eigenarbeit einer Privatperson;Kunst;;Flur;1;Stück;gut;;F-032;B;ja;ja;140,00;VHB;Versand möglich;1 Bild im Bild;;;verfügbar;;;;;;;;;;;;
NE01-07;K-052;;NE01;Holz-Schriftzug Heimat;Dekoschriftzug aus Holz;Deko;;Flur;1;Stück;gut;;F-032;C;ja;ja;25,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
NE01-08;K-053;;NE01;Zamioculcas im Übertopf;Glücksfeder, weißer Übertopf;Pflanzen;;Flur;1;Stück;gut;;F-033;C;ja;ja;60,00;VHB;nur Abholung;1 Pflanze im Bild;;;verfügbar;;;;;;;;;;;;
NE01-09;K-054;;NE01;Wanddeko Fadenbild schwarz;Schwarzes Fadenbild auf rundem Holzreif, zwei Größen;Deko;;Flur;2;Stück;gut;;F-034;C;ja;ja;35,00;VHB;Versand möglich;2 Stück (klein und groß);;;verfügbar;;;;;;;;;;;;
NE01-10;K-055;;NE01;Deckenleuchte Pusteblume;IKEA Maskros, weiß, zwei Größen;Leuchten;;Flur;2;Stück;gut;;F-036;C;ja;ja;35,00;VHB;nur Abholung;2 Stück (zwei Fotos, klein und groß);;;verfügbar;;;;;;;;;;;;
NE01-11;K-056;;NE01;Gemälde Bollenhut-Mädchen;Acryl auf Leinwand, ca. 60 x 80 cm - Eigenarbeit einer Privatperson;Kunst;;Flur;1;Stück;gut;;F-037;B;ja;ja;360,00;VHB;nur Abholung;1 Bild im Bild;;;verfügbar;;;;;;;;;;;;
NE01-12;K-057;;NE01;Gemälde Fuchs mit Bollenhut;Acryl auf Leinwand, ca. 80 x 100 cm - Eigenarbeit einer Privatperson;Kunst;;Flur;1;Stück;gut;;F-038;B;ja;ja;180,00;VHB;nur Abholung;1 Bild im Bild;;;verfügbar;;;;;;;;;;;;
NE01-13;K-058;;NE01;Gemälde Panorama, 3 Figuren;Acryl auf Leinwand, Querformat ca. 120 x 40 cm - Eigenarbeit einer Privatperson;Kunst;;Flur;1;Stück;gut;;F-040;B;ja;ja;120,00;VHB;nur Abholung;1 Bild im Bild;;;verfügbar;;;;;;;;;;;;
NE01-14;K-059;;NE01;Gemälde Panorama, 5 Figuren;Acryl auf Leinwand, Querformat - Eigenarbeit einer Privatperson;Kunst;;Flur;1;Stück;gut;;F-041;B;ja;ja;120,00;VHB;nur Abholung;1 Bild im Bild;;;verfügbar;;;;;;;;;;;;
NE01-15;K-066;;NE01;Deko-Tannenbaum schwarz;Metall-Tannenbaum auf Holzsockel, schwarz, verschiedene Größen;Deko;;Flur;3;Stück;gut;;F-072;C;ja;ja;25,00;VHB;Versand möglich;3 Stück im Bild;;;verfügbar;;;;;;;;;;;;
NE01-16;K-068;;NE01;Pflanze mit Topf;Stoffschirm schwarz-weiß gemustert mit Fransenbesatz;Pflanzen;;Flur;1;Stück;gut;;F-073;C;ja;ja;20,00;VHB;nur Abholung;2 Stück im Bild;;;verfügbar;;;;;;;;;;;;
NE05-01;K-023;;NE05;Massivholztisch mit Baumkante, Essbereich;Massivholzplatte mit Baumkante, schwarzes Metallgestell mit Messingfüßen;Möbel;;Speisesaal;4;Stück;gebraucht;;F-016;A;ja;ja;450,00;VHB;nur Abholung;mindestens 4 Tische im Bild - bitte nachzählen;;;verfügbar;;;;;;;;;;;;
NE05-02;K-024;;NE05;Sitzbank Massivholz;Passend zu den Baumkantentischen, Massivholz mit Metallgestell;Möbel;;Speisesaal;2;Stück;gebraucht;;F-016;B;ja;ja;250,00;VHB;nur Abholung;2 Bänke im Bild erkennbar;;;verfügbar;;;;;;;;;;;;
NE05-03;K-028;;NE05;Kuckucksuhr groß, geschnitzt;Schwarzwälder Kuckucksuhr, aufwendig geschnitzt mit Hirschkopf, Eulen und Jagdhorn;Uhren;;Speisesaal;1;Stück;gut;;F-017;A;ja;ja;550,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
NU01-01;K-031;;NU01;Vitra Alcove Sofa, rot;Vitra Alcove, Design Ronan & Erwan Bouroullec, rot, hohe Rückenwände, Chrombeine;Designmöbel;Vitra;Flur;2;Stück;gebraucht;;F-019;A;ja;ja;1.600,00;VHB;nur Abholung;2 Elemente im Bild - bitte prüfen ob 3;;;verfügbar;;;;;;;;;;;;
NU01-02;K-034;;NU01;Kuckucksuhr, Wandgruppe;Schwarzwälder Kuckucksuhren verschiedener Größe und Ausführung;Uhren;;Flur;5;Stück;gut;;F-109;A;ja;ja;150,00;VHB;Versand möglich;5 Uhren im Bild - bitte nachzählen;;;verfügbar;;;;;;;;;;;;
NU01-03;K-035;;NU01;Dekoration in der Vitrine;Dekoration in der Vitrine;Deko;;Flur;1;Stück;gut;;F-110;B;ja;ja;50,00;VHB;nur Abholung;1 Stück im Bild (Inhalt nicht enthalten);;;verfügbar;;;;;;;;;;;ja;
NU01-04;K-060;;NU01;Gemälde Heimweh;Acryl auf Leinwand, großformatig ca. 100 x 140 cm - Eigenarbeit einer Privatperson;Kunst;;Flur;1;Stück;gut;;F-049;B;ja;ja;450,00;VHB;nur Abholung;1 Bild im Bild;;;verfügbar;;;;;;;;;;;;
NU01-05;K-061;;NU01;Deko-Hirschkopf geometrisch;Hirschkopf in geometrischer Form, Beton-/Holzoptik;Deko;;Flur;2;Stück;gut;;F-050;C;ja;ja;40,00;VHB;Versand möglich;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
NU01-06;K-072;;NU01;Gemälde Marilyn mit Bollenhut;Acryl auf Leinwand, großformatig ca. 120 x 120 cm - Eigenarbeit einer Privatperson;Kunst;;Flur;1;Stück;gut;;F-091;B;ja;ja;650,00;VHB;nur Abholung;1 Bild im Bild;;;verfügbar;;;;;;;;;;;;
NU01-07;K-075;;NU01;Trachtenportrait gerahmt, klein;Trachtenportrait gerahmt, klein;Deko;;Flur;1;Set;gut;;F-075;C;ja;ja;45,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;ja;
NU01-08;K-103;;NU01;Trachtenfotografie gerahmt, weiß;Fotodruck im weißen Rahmen, ca. 20 x 25 cm - Kaufware;Kunst;;Flur;5;Stück;gut;;F-074;C;ja;ja;35,00;VHB;Versand möglich;5 Rahmen im Bild;;;verfügbar;;;;;;;;;;;ja;
NU01-09;K-106;;NU01;Trachtenfotografie gerahmt, schwarz;Fotodruck im schwarzen Rahmen mit Passepartout - Kaufware;Kunst;;Flur;4;Stück;gut;;F-075;C;ja;ja;35,00;VHB;Versand möglich;4 Rahmen im Bild, ggf. mehr;;;verfügbar;;;;;;;;;;;ja;
NU01-10;K-107;;NU01;Gemälde Panorama mit Tanne;Acryl auf Leinwand, Querformat - Eigenarbeit einer Privatperson;Kunst;;Flur;2;Stück;gut;;F-076;B;ja;ja;120,00;VHB;nur Abholung;1 Bild im Bild;;;verfügbar;;;;;;;;;;;;
NU01-11;K-108;;NU01;Bilderrahmen schwarz mit Strichfigur;Gerahmte Drucke mit Bollenhut-Strichfiguren, schwarze Rahmen;Kunst;;Flur;4;Stück;gut;;F-077;C;ja;ja;15,00;VHB;Versand möglich;4 Rahmen erkennbar;;;verfügbar;;;;;;;;;;;;
NU01-12;;;NU01;Läufer dunkelgrau, IKEA Morum;Flachgewebter Läufer in Dunkelgrau, IKEA Morum (In-/Outdoor-Qualität), strukturierte Webung. 15 gleiche Läufer aus den Fluren.;Textilien;IKEA;Flur;15;Stück;gebraucht;;F-134;C;ja;ja;20,00;VHB;nur Abholung;15 Läufer laut Angabe im Haus – abgebildet ist einer davon.;;;verfügbar;;;;;;;;;;;;
NU02-01;K-004;;NU02;Kommode weiß, 6 Schubladen;IKEA Nordli, weiß, hoch, 6 Schubladen;Möbel;;Gruppenraum 5;1;Stück;gebraucht;;F-003;B;ja;ja;90,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
NU03-01;K-007;;NU03;Kommode weiß, hoch, 7 Schubladen;IKEA Nordli, weiß, hohe Ausführung;Möbel;;Schlafraum 4;1;Stück;gebraucht;;F-004;B;ja;ja;110,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
NU04-01;K-008;;NU04;Wanddeko Hirschkopf Sperrholz;3D-Stecksatz aus Sperrholz, schwarz lackiert, Wandmontage;Deko;;Schlafraum 5;3;Stück;gut;;F-005;C;ja;ja;20,00;VHB;Versand möglich;3 Stück im Bild;;;verfügbar;;;;;;;;;;;;
NU04-02;K-009;;NU04;Kommode anthrazit, groß;"IKEA Nordli, anthrazit, große Kombination, ca. 12-14 Schubladen; 2 Schubladen bereits repariert; funktionsfähig";Möbel;;Schlafraum 5;1;Stück;gebraucht;;F-006;B;ja;ja;220,00;VHB;nur Abholung;1 große Einheit im Bild;;;verfügbar;;;;;;;;;;;;
NU04-03;K-011;;NU04;Massivholztisch mit Baumkante;Massivholzplatte mit natürlicher Baumkante, schwarzes Metallgestell, ca. 200 x 90 cm;Möbel;;Schlafraum 5;1;Stück;gebraucht;;F-007;A;ja;ja;450,00;VHB;nur Abholung;1 Tisch im Vordergrund, weitere im Hintergrund;;;verfügbar;;;;;;;;;;;;
NU04-04;K-012;;NU04;Magnettafel grau, groß;Magnet-/Schreibtafel, grau, beschriftet, Wandmontage;Büro;;Schlafraum 5;1;Stück;gebraucht;;F-008;C;ja;ja;45,00;VHB;nur Abholung;1 Stück im Bild;;;verfügbar;;;;;;;;;;;;
NU04-05;K-014;;NU04;Hochflorteppich beige;Shaggy/Hochflor, beige, ca. 200 x 300 cm, gereinigt;Textilien;;Schlafraum 5;2;Stück;gebraucht;;F-009;C;ja;ja;35,00;VHB;Versand möglich;2 Stück (zwei Einzelfotos);;;verfügbar;;;;;;;;;;;;
NU04-06;K-015;;NU04;Teppich schwarz-weiß Rautenmuster;Flachgewebe, Rautenmuster schwarz/weiß, ca. 200 x 300 cm;Textilien;;Schlafraum 5;2;Stück;gebraucht;;F-011;C;ja;ja;30,00;VHB;Versand möglich;2 Stück im Bild;;;verfügbar;;;;;;;;;;;;
TE01-01;K-121;;TE01;Biohort Freizeitbox weiß (Terrasse);"Biohort Freizeitbox weiß (Terrasse)
Alu-Auflagenbox, weiß, abschließbar, wetterfest";Garten;Biohort;Terrasse;1;Stück;gut;;F-094;A;ja;ja;410,00;VHB;nur Abholung;1 Box im Bild;;;verfügbar;;;;;;;;;;;;
TE01-02;K-123;;TE01;Gartentisch mit Granitplatte inkl. Stühle und Schutzhülle;Granitplatte auf Aluminiumgestell, ca. 160 x 90 cm inkl. Stühle und Schutzhülle;Garten;;Terrasse;1;Stück;gut;;F-095;A;ja;ja;280,00;VHB;nur Abholung;1 Tisch im Bild;;;verfügbar;;;;;;;;;;;;
TE01-03;K-125;;TE01;Textilene-Stapelsessel anthrazit;Hochlehner, Aluminiumrahmen mit Textilenbespannung, stapelbar;Garten;;Terrasse;4;Stück;stark gebraucht;;F-096;B;ja;ja;10,00;VHB;nur Abholung;4 Stück im Bild;;;verfügbar;;;;;;;;;;;;
TE01-04;K-132;;TE01;Weber Genesis Gasgrill;Weber Genesis, Kupfer/Edelstahl, 4 Brenner mit Sear Station, inkl. Gasflasche;Garten;Weber;Terrasse;1;Stück;gebraucht;;F-102;A;ja;ja;450,00;VHB;nur Abholung;1 Grill im Bild;;;verfügbar;;;;;;;;;;;ja;
TE01-05;K-133;;TE01;Sonnenschirm creme;Marktschirm mit Holzstiel, creme, ca. 3 m Durchmesser;Garten;;Terrasse;1;Stück;gebraucht;;F-103;C;ja;ja;70,00;VHB;nur Abholung;1 Schirm im Bild;;;verfügbar;;;;;;;;;;;;
TE02-01;K-127;;TE02;Pflanzkübel Plastik weiß;Runder Pflanzkübel, Betonoptik weiß, Durchmesser ca. 50 cm;Garten;;Dachterrasse;4;Stück;gebraucht;;F-098;C;ja;ja;60,00;VHB;nur Abholung;3 Kübel im Bild;;;verfügbar;;;;;;;;;;;;
TE02-02;K-128;;TE02;Gartenstuhl Kunststoff anthrazit;Stapelbarer Gartenstuhl mit Armlehnen, anthrazit;Garten;;Dachterrasse;4;Stück;gebraucht;;F-099;C;ja;ja;10,00;VHB;nur Abholung;4 Stück gestapelt im Bild;;;verfügbar;;;;;;;;;;;;
TE02-03;K-130;;TE02;Gartentisch anthrazit;Aluminiumrahmen mit Lamellenplatte in Holzoptik, anthrazit inkl. Stühle;Garten;;Dachterrasse;1;Stück;gut;;F-101;B;ja;ja;150,00;VHB;nur Abholung;1 Tisch im Bild;;;verfügbar;;;;;;;;;;;;
TE02-04;K-138;;TE02;Teak-Klapptisch rund;Runder Gartenklapptisch aus Hartholz/Teak inkl. Stühle;Garten;;Dachterrasse;1;Set;gebraucht;;F-105;A;ja;ja;150,00;VHB;nur Abholung;1 Tisch im Bild;;;verfügbar;;;;;;;;;;;;
TE02-05;K-139;;TE02;Pflanzkübel grau, groß;Kunststoff-Pflanzkübel grau, Durchmesser ca. 60 cm;Garten;;Dachterrasse;2;Stück;gut;;F-106;C;ja;ja;90,00;VHB;nur Abholung;1 Kübel im Bild;;;verfügbar;;;;;;;;;;;;
TE02-06;K-140;;TE02;Holzstern mit Lichterkette;Großer Dekostern aus Holzlatten mit Lichterkette, ca. 2 m;Deko;;Dachterrasse;1;Stück;gebraucht;;F-107;B;ja;ja;180,00;VHB;nur Abholung;1 Stern im Bild;;;verfügbar;;;;;;;;;;;;
NU01-13;;;NU01;Vitrine Nussbaum, vierteilig;Wohnzimmervitrine im Barockstil, Nussbaum furniert. Vier Türen, davon zwei mit Glas und Glaseinlegeböden, geschnitzte Zierleisten, Schloss vorhanden.;Möbel;;Flur;1;Stück;gebraucht;;F-114;B;ja;ja;120,00;VHB;nur Abholung;1 Vitrine. Die Dekoration darin ist Position NU01-03 und wird getrennt verkauft.;;;verfügbar;;;;;;;;;;;;Personenfotos in der Vitrine sind im Bild maskiert (so gewollt).
NU01-14;;;NU01;Kindergarderobe mit Sitzbank, weiß;Schreinerarbeit aus weiß beschichteter Platte mit Multiplex-Kanten. Oben vier offene Fächer, darunter vier weiße Doppelhaken, Sitzbank mit Schuhrost aus Holzlatten.;Kita-Ausstattung;;Flur;5;Stück;gebraucht;;F-115;B;ja;ja;90,00;VHB;nur Abholung;5 gleiche Einheiten laut Erfassungsblatt – abgebildet ist eine davon.;;;verfügbar;;;;;;;;;;;;
NU01-15;;;NU01;Garderobenschrank weiß mit Grafikfront;Weiß beschichteter Schrank mit hoher Tür und Schubladen, Griffmulden ohne Beschläge. Die Fronten tragen eine schwarze Grafik (Straße mit Fahrzeugen), die sich über alle vier Schränke fortsetzt und nur zusammen ein Bild ergibt.;Möbel;;Flur;4;Stück;gebraucht;;F-118;B;ja;ja;120,00;VHB;nur Abholung;4 gleiche Schränke laut Erfassungsblatt – abgebildet ist die Schrankwand im Ganzen.;;;verfügbar;;;;;;;;;;;;
NU01-16;;;NU01;Waschmaschine LG 17 kg, F11WM17VT2;LG Vollwaschautomat, Inverter Direct Drive, TrueSteam, 17 kg Füllmenge. Modell F11WM17VT2 laut Typenschild, 2000–2250 W. Gewerblich genutzt.;Technik;LG;Flur;1;Stück;gut;99 × 70 × 77 cm (H×B×T);F-119;A;ja;ja;350,00;VHB;nur Abholung;1 Gerät. Typenschild ist abfotografiert (Foto F-121).;;;verfügbar;;;;;;;;;;;;
NU01-17;;;NU01;Wärmepumpentrockner Miele T1 Excellence, 8 kg;Miele Wärmepumpentrockner der Reihe T1 Excellence, 8 kg. Typenschild: TEC235WP, Type HT30. Aufkleber des Elektrofachbetriebs Frommer, VS-Schwenningen.;Technik;Miele;Flur;1;Stück;gut;;F-120;A;ja;ja;400,00;VHB;nur Abholung;1 Gerät. Typenschild ist abfotografiert (Foto F-122).;;;verfügbar;;;;;;;;;;;;
NU01-18;;;NU01;Waschmaschine Candy RapidÓ, 9 kg;Candy RapidÓ, 9 kg, 1400 Touren, Speed-Drive-Inverter, Simply-Fi (App-Anbindung), Kg Detector. Modell RO14960WMC5/1-S laut Typenschild, 1600 W.;Technik;Candy;Flur;1;Stück;gebraucht;;F-123;B;ja;ja;140,00;VHB;nur Abholung;1 Gerät. Typenschild ist abfotografiert (Foto F-124).;;;verfügbar;;;;;;;;;;;;
NU01-19;;;NU01;Kindergarderobe mit Hakenleiste und Wannen, weiß;Zweiteilige Kindergarderobe: oben ein Wandelement mit vier offenen Fächern und darin liegenden Kunststoffwannen sowie vier roten Doppelhaken, unten eine weiße Sitzbank aus Holz mit Schublade. Beide Teile gehören zusammen.;Kita-Ausstattung;;Flur;4;Stück;gebraucht;;F-125;B;ja;ja;110,00;VHB;nur Abholung;4 gleiche Garderoben, jede aus Wandelement und Sitzbank – abgebildet ist eine davon.;;;verfügbar;;;;;;;;;;;;
NU01-20;;;NU01;Clubsessel rot, Kunstleder;Runder Clubsessel in Tonnenform, roter Kunstlederbezug, niedrige Sitzhöhe – im Haus als Kindersessel genutzt. Gebrauchsspuren an Kanten und Sitzfläche, kleine Risse im Bezug.;Möbel;;Flur;2;Stück;gebraucht;;F-127;B;ja;ja;60,00;VHB;nur Abholung;2 Sessel, beide abgebildet.;;;verfügbar;;;;;;;;;;;;
NU01-21;;;NU01;"Leuchte Mr Maria „Miffy"", groß";Steh-/Tischleuchte in Hasenform von Mr Maria (Amsterdam), Motiv Miffy, weißer Kunststoff, LED, Anschluss über Netzteil mit USB. Typenschild: MR LED8. Das größere der beiden Exemplare.;Leuchten;Mr Maria;Flur;1;Stück;gut;;F-135;A;ja;ja;140,00;VHB;nur Abholung;1 Leuchte, das große Exemplar.;;;verfügbar;;;;;;;;;;;;
NU01-22;;;NU01;"Leuchte Mr Maria „Miffy"", klein";Tischleuchte in Hasenform von Mr Maria (Amsterdam), Motiv Miffy, weißer Kunststoff, LED, Anschluss über Netzteil mit USB. Die kleinere Ausführung.;Leuchten;Mr Maria;Flur;3;Stück;gut;;F-136;A;ja;ja;60,00;VHB;nur Abholung;3 gleiche Leuchten in der kleinen Ausführung – abgebildet ist eine davon.;;;verfügbar;;;;;;;;;;;;
NU02-02;;;NU02;Kinderstuhl IKEA Kritter, weiß;Kinderstuhl aus Massivholz, weiß lackiert, Rückenlehne mit ausgestanzter Katze und Hund. Etikett an der Unterseite: IKEA Kritter, Herstelldatum 2019. Farbe an Sitzkanten und Ecken abgeplatzt.;Kita-Ausstattung;IKEA;Gruppenraum 5;10;Stück;gebraucht;;F-138;C;ja;ja;10,00;VHB;nur Abholung;10 Stück – abgebildet ist einer davon.;;;verfügbar;;;;;;;;;;;;Gesamtstückzahl über Gruppenraum 5 und den Nachbarraum NU02/NU03 hinweg, so vom Haus gezählt. In NU03 nicht erneut anlegen.
NU02-03;;;NU02;Kindertisch rund, weiß;Runde Tischplatte in Weiß mit Multiplex-Kante auf verchromten Rundfüßen. Oberfläche verkratzt und mit Farbspuren.;Kita-Ausstattung;;Gruppenraum 5;2;Stück;gebraucht;;F-141;B;ja;ja;60,00;VHB;nur Abholung;2 Tische – abgebildet ist einer davon von oben.;;;verfügbar;;;;;;;;;;;;Gesamtstückzahl über Gruppenraum 5 und den Nachbarraum NU02/NU03 hinweg, so vom Haus gezählt. In NU03 nicht erneut anlegen.
NU02-04;;;NU02;Kinderstuhl VS, grau;Schalenstuhl von VS (Vereinigte Spezialmöbelfabriken) auf grauem Kufengestell. Kunststoffschale mit Griffloch in der Lehne, Sitzfläche mit Belüftungslöchern. Schulmöbelqualität.;Kita-Ausstattung;VS;Gruppenraum 5;8;Stück;gut;;F-142;B;ja;ja;65,00;VHB;nur Abholung;8 Stück – abgebildet ist einer davon. Das Logo auf der Lehne ist auf Foto F-143 zu sehen.;;;verfügbar;;;;;;;;;;;;
NU02-05;;;NU02;Kindertisch halbrund, weiß;Halbrunde Tischplatte in Weiß mit Holzkante, auf dunklen Rundfüßen. Zwei Tische ergeben zusammen einen ovalen Tisch.;Kita-Ausstattung;;Gruppenraum 5;4;Stück;gebraucht;;F-144;B;ja;ja;45,00;VHB;nur Abholung;4 halbrunde Tische – abgebildet sind zwei zusammengestellt.;;;verfügbar;;;;;;;;;;;;
NU02-07;;;NU02;Beistelltisch Drahtkorb, Kupfer;Runder Beistelltisch: Drahtkorb in Kupferoptik mit abnehmbarer Platte in Holzoptik. Der Korb lässt sich als Ablage nutzen.;Möbel;;Gruppenraum 5;2;Stück;gebraucht;;F-147;C;ja;ja;25,00;VHB;nur Abholung;2 Tische – abgebildet ist einer davon.;;;verfügbar;;;;;;;;;;;;
NU02-08;;;NU02;Ohrensessel klein, creme;Kleiner Ohrensessel mit cremefarbenem Bouclé-Bezug und schwarz lackierten, geschwungenen Holzbeinen. Niedrige Sitzhöhe.;Möbel;;Gruppenraum 5;1;Stück;gebraucht;;F-148;B;ja;ja;50,00;VHB;nur Abholung;1 Sessel.;;;verfügbar;;;;;;;;;;;;
NU02-09;;;NU02;Spieltisch Kiefer mit weißen Einlagen;Quadratischer Tisch: Rahmen und Beine aus Kiefer massiv, zwei weiße Einlegeplatten in der Tischfläche mit Griffloch. Kanten und Platten mit Gebrauchsspuren.;Kita-Ausstattung;;Gruppenraum 5;1;Stück;gebraucht;;F-149;B;ja;ja;45,00;VHB;nur Abholung;1 Tisch.;;;verfügbar;;;;;;;;;;;;
NU02-11;;;NU02;Tisch weiß mit grauer Platte;Tisch mit weißen Seitenwangen und dunkelgrauer Platte, auf Gleitern. Schlichte Bauweise, als Arbeits- oder Basteltisch genutzt.;Möbel;;Gruppenraum 5;1;Stück;gebraucht;;F-153;B;ja;ja;60,00;VHB;nur Abholung;1 Tisch.;;;verfügbar;;;;;;;;;;;;
NU02-12;;;NU02;Pinolino Kindersitzgruppe rund, Holz;Runder Kindertisch mit vier angebauten, geschwungenen Sitzbänken, Nadelholz. Von Pinolino. Stand im Freien und ist vergraut, Holz sonst fest.;Kita-Ausstattung;Pinolino;Gruppenraum 5;1;Stück;gebraucht;;F-154;B;ja;ja;75,00;VHB;nur Abholung;1 Sitzgruppe, Tisch und Bänke fest verbunden.;;;verfügbar;;;;;;;;;;;;
NU02-13;;;NU02;IKEA Mammut Kindertisch mit vier Stühlen;Kindertisch und vier Kinderstühle aus weißem Kunststoff, IKEA Mammut. Stand im Freien, Oberflächen verschmutzt und stumpf.;Kita-Ausstattung;IKEA;Gruppenraum 5;1;Set;stark gebraucht;;F-157;B;ja;ja;35,00;VHB;nur Abholung;1 Set aus einem Tisch und vier Stühlen.;;;verfügbar;;;;;;;;;;;;
NU02-14;;;NU02;IKEA Mammut Kinderstuhl, verschiedene Farben;Kinderstuhl aus Kunststoff, IKEA Mammut, in verschiedenen Farben. Stand im Freien, Farben deutlich ausgeblichen.;Kita-Ausstattung;IKEA;Gruppenraum 5;3;Stück;stark gebraucht;;F-158;C;ja;ja;6,00;VHB;nur Abholung;Bisher erfasst: zwei rosa und einer grün. Es gibt sie in weiteren Farben, auch in den Außenanlagen – Stückzahl wird am Ende des Rundgangs zusammengezählt.;;;verfügbar;;;;;;;;;;;;"OFFEN: Stueckzahl und Farben unvollstaendig. Die Nutzerin liefert die restlichen Fotos am Ende des Rundgangs nach; dann wird diese Position auf die Gesamtzahl gebracht und die Post-it-Nummern der anderen Raeume kommen in Weitere_ArtNr."
NU02-15;;;NU02;Ablagetisch Bambus mit Wanne;Schmales Gestell aus Bambus mit Lattenboden und aufgelegter weißer Wanne. Im Haus als Aufbewahrung und Servierwagen genutzt.;Möbel;;Gruppenraum 5;1;Stück;gebraucht;;F-160;B;ja;ja;30,00;VHB;nur Abholung;1 Stück.;;;verfügbar;;;;;;;;;;;;
NU02-16;;;NU02;Wandregal beige, lang;Langes Wandregal mit hoher Rückkante, beige beschichtet.;Möbel;;Gruppenraum 5;3;Stück;gebraucht;;F-161;C;ja;ja;15,00;VHB;nur Abholung;3 Regale – abgebildet sind alle drei übereinander.;;;verfügbar;;;;;;;;;;;;
NU02-17;;;NU02;Wandregal weiß, kurz;Kurzes Wandregal mit Rückkante, weiß beschichtet, sichtbar verschraubt.;Möbel;;Gruppenraum 5;2;Stück;gebraucht;;F-162;C;ja;ja;10,00;VHB;nur Abholung;2 Regale – abgebildet sind beide.;;;verfügbar;;;;;;;;;;;;
NU02-18;;;NU02;Sitztier Elefant, weiß und schwarz;Sitztier in Elefantenform aus Kunststoff, ein weißes und ein schwarzes Exemplar in gleicher Größe. Am Ohr ein ovales Metallplättchen mit eingravierter Signatur.;Deko;;Gruppenraum 5;2;Stück;gebraucht;;F-163;A;ja;nein;180,00;VHB;nur Abholung;"2 Elefanten, weiß und schwarz. Abgebildet ist der weiße; der schwarze wird nachfotografiert. Ein kleinerer schwarzer folgt als eigene Position.";;;verfügbar;;;;;;;;;;;;"OFFEN: NICHT VEROEFFENTLICHEN, bis die Marke geklaert ist: Form und Signaturplaettchen sprechen fuer einen Vitra Eames Elephant (gebraucht 150-280 EUR je Stueck), ein Nachbau waere 20-40 EUR wert. Nahaufnahme des Plaettchens und der Unterseite steht aus; die Nutzerin liefert sie am Ende des Rundgangs. Der kleinere schwarze wird dann eine eigene Position."
NU02-19;;;NU02;Schrank weiß, zwei Türen;Hoher Schrank in Weiß mit zwei Türen und schwarzen Griffmulden, beschriftet.;Möbel;;Gruppenraum 5;1;Stück;gebraucht;;F-165;B;ja;ja;70,00;VHB;nur Abholung;1 Schrank. Foto F-167 zeigt ihn neben NU02-20, das gibt die Größe.;;;verfügbar;;;;;;;;;;;;
